ID,Placa,Infraccion,Nivel de gravedad,Fecha,Costo,Estado
201,S8V158,G28,G,12/01/23,396,PENDIENTE
202,Y3B702,G29,G,10/12/22,396,PENDIENTE
203,U8U258,G32,G,27/03/23,396,PENDIENTE
204,N7P191,G41,G,05/08/21,396,PENDIENTE
205,O5D677,G04,G,20/12/20,396,PENDIENTE
206,Z9P162,G46,G,22/05/22,396,PENDIENTE
207,G9G471,G47,G,21/03/22,396,PENDIENTE
208,V5O267,G47,G,27/08/22,396,PENDIENTE
209,H9B174,G54,G,04/12/22,396,PENDIENTE
210,L8X940,G56,G,14/09/21,396,PENDIENTE
211,G7N756,G59,G,09/03/22,396,PENDIENTE
212,I4R373,M03,M,11/05/22,2475,PENDIENTE
213,O7S831,M06,M,21/10/22,1188,PENDIENTE
214,P9H731,M16,M,11/12/21,594,PENDIENTE
215,Q7D966,M17,M,08/12/21,594,PENDIENTE
216,D1S159,M17,M,14/03/20,594,PENDIENTE
217,B2G107,M17,M,04/03/20,594,PENDIENTE
218,W0V120,M17,M,17/01/23,594,PENDIENTE
219,U4P804,M18,M,23/12/20,594,PENDIENTE
220,P9R168,M21,M,30/08/20,594,PENDIENTE
221,M2N916,M21,M,21/03/22,594,PENDIENTE
222,P7G328,M24,M,31/07/20,594,PENDIENTE
223,M3K126,M20a,M,09/07/22,891,PENDIENTE
224,P9M609,M20a,M,30/04/22,891,PENDIENTE
225,X1M861,M20a,M,17/06/23,891,PENDIENTE
226,X0R853,M05,M,06/11/20,2475,PENDIENTE
227,T6T141,M05,M,30/06/23,2475,PENDIENTE
228,V6S974,M09,M,26/04/20,1188,PENDIENTE
229,P1A485,M16,M,26/01/20,594,PENDIENTE
230,E1V959,M16,M,28/04/20,594,PENDIENTE
231,H4W516,M16,M,26/04/22,594,PENDIENTE
232,Z0O718,M17,M,24/04/21,594,PENDIENTE
233,W6S785,M21,M,29/01/21,594,PENDIENTE
234,N7R825,M24,M,01/11/22,594,PENDIENTE
235,T2M409,M27,M,06/12/20,2475,PENDIENTE
236,V3K974,M27,M,22/11/22,2475,PENDIENTE
237,Z9G911,M44,M,06/07/21,594,PENDIENTE
238,W7D621,M20a,M,01/11/20,891,PENDIENTE
239,M3X608,M19,M,05/12/21,594,PENDIENTE
240,H2I465,M19,M,21/05/20,594,PENDIENTE
241,J6E561,M21,M,06/07/22,594,PENDIENTE
242,Q8I342,M24,M,21/02/23,594,PENDIENTE
243,M8N167,G55,G,19/04/23,396,PENDIENTE
244,J5P270,G56,G,25/03/21,396,PENDIENTE
245,B3X951,G57,G,20/07/22,396,PENDIENTE
246,N3A136,G57,G,01/03/20,396,PENDIENTE
247,E4S343,G57,G,22/05/22,396,PENDIENTE
248,B7R875,G57,G,05/07/20,396,PENDIENTE
249,Y9V367,G58,G,10/12/20,396,PENDIENTE
250,Z0B176,G58,G,13/03/20,396,PENDIENTE
251,R2G706,G58,G,09/06/20,396,PENDIENTE
252,X4Q101,G61,G,01/09/21,396,PENDIENTE
253,T7A663,L01,L,05/07/22,198,PENDIENTE
254,R3O906,L04,L,20/10/21,198,PENDIENTE
255,V2T198,L04,L,06/04/23,198,PENDIENTE
256,Z4J480,L05,L,17/04/20,198,PENDIENTE
257,Q8J707,L05,L,06/12/22,198,PENDIENTE
258,F8G248,G07,G,11/04/21,396,PENDIENTE
259,Z6W848,G11,G,23/05/21,396,PENDIENTE
260,F4X480,G15,G,06/09/22,396,PENDIENTE
261,Z0P880,G21,G,09/08/22,396,PENDIENTE
262,V2Y911,G35,G,29/06/23,396,PENDIENTE
263,U8J339,G36,G,14/09/21,396,PENDIENTE
264,Z0B410,M02,M,19/05/22,2475,PENDIENTE
265,F1J768,M02,M,17/07/22,2475,PENDIENTE
266,G5V260,M02,M,06/11/20,2475,PENDIENTE
267,Z8Z952,M02,M,29/10/20,2475,PENDIENTE
268,F6V281,M03,M,03/02/21,2475,PENDIENTE
269,K7X335,M04,M,26/06/21,4950,PENDIENTE
270,M6Q491,M08,M,20/10/22,1188,PENDIENTE
271,Z9K201,M19,M,13/07/22,594,PENDIENTE
272,S2R836,M22,M,20/12/22,594,PENDIENTE
273,E2W910,M25,M,21/07/22,594,PENDIENTE
274,Z5X540,M27,M,22/01/22,2475,PENDIENTE
275,E7U676,M38,M,18/07/20,0,PENDIENTE
276,J9Q439,G25,G,08/09/20,396,PENDIENTE
277,L4F575,G11,G,14/02/20,396,PENDIENTE
278,L5M450,M20a,M,04/04/20,891,PENDIENTE
279,H1T358,G35,G,04/01/21,396,PENDIENTE
280,V6F661,G41,G,30/05/22,396,PENDIENTE
281,S5D134,G47,G,01/06/22,396,PENDIENTE
282,O3R768,G59,G,01/01/23,396,PENDIENTE
283,Q5V314,G72b,G,25/05/23,396,PENDIENTE
284,P3S175,L06,L,18/04/20,198,PENDIENTE
285,A0E955,G10,G,15/07/21,396,PENDIENTE
286,B4K741,G10,G,18/09/22,396,PENDIENTE
287,K5N800,G10,G,10/01/20,396,PENDIENTE
288,V7W452,G10,G,15/02/23,396,PENDIENTE
289,A8C965,G15,G,07/05/20,396,PENDIENTE
290,N4Y971,G16,G,06/04/21,396,PENDIENTE
291,U0Z932,G17,G,26/06/22,396,PENDIENTE
292,G3I666,G21,G,10/01/23,396,PENDIENTE
293,B0T508,G27,G,10/12/22,396,PENDIENTE
294,S2E316,M28,M,22/05/23,594,PENDIENTE
295,T3J981,G04,G,17/08/20,396,PENDIENTE
296,I6K620,G47,G,11/09/20,396,PENDIENTE
297,H7N643,G47,G,08/08/22,396,PENDIENTE
298,Z4W413,G47,G,08/06/22,396,PENDIENTE
299,L0I795,G56,G,10/12/21,396,PENDIENTE
300,Y5U286,G57,G,15/04/20,396,PENDIENTE
301,D7X295,G58,G,18/02/20,396,PENDIENTE
302,H6L602,G60,G,06/02/23,396,PENDIENTE
303,K8G120,L04,L,30/06/22,198,PENDIENTE
304,B6W705,M28,M,02/02/23,594,PENDIENTE
305,H2D701,M20c,M,25/06/22,2475,PENDIENTE
306,X5X361,G04,G,20/10/21,396,PENDIENTE
307,H6Q328,G06,G,23/05/21,396,PENDIENTE
308,D1G253,G06,G,03/08/20,396,PENDIENTE
309,I0B418,G08,G,22/04/22,396,PENDIENTE
310,E7M921,G08,G,24/09/20,396,PENDIENTE
311,S8G353,G10,G,27/05/20,396,PENDIENTE
312,G5O617,G10,G,18/04/22,396,PENDIENTE
313,J4N998,G13,G,23/06/20,396,PENDIENTE
314,T4F736,G15,G,19/01/23,396,PENDIENTE
315,E1A440,G16,G,13/05/21,396,PENDIENTE
316,Y0R695,G17,G,08/11/20,396,PENDIENTE
317,O1C956,G18a,G,20/11/22,396,PENDIENTE
318,Q5E617,G18b,G,05/09/21,396,PENDIENTE
319,G4G450,G18b,G,25/12/20,396,PENDIENTE
320,Y3H558,G20,G,11/03/22,396,PENDIENTE
321,J7T449,G27,G,31/10/20,396,PENDIENTE
322,K8D889,G18a,G,27/09/20,396,PENDIENTE
323,T8K425,G19,G,28/05/20,396,PENDIENTE
324,B0K197,G21,G,11/09/22,396,PENDIENTE
325,R2Z952,G27,G,27/06/22,396,PENDIENTE
326,X1B824,G29,G,01/11/22,396,PENDIENTE
327,L2C600,M03,M,08/10/21,2475,PENDIENTE
328,X5H257,M03,M,06/09/21,2475,PENDIENTE
329,Q5W618,M02,M,03/03/20,2475,PENDIENTE
330,S7B611,G07,G,27/08/20,396,PENDIENTE
331,L1X497,G08,G,03/09/22,396,PENDIENTE
332,Q5I486,G08,G,18/05/23,396,PENDIENTE
333,B9F239,G13,G,20/04/20,396,PENDIENTE
334,Y7A816,G19,G,08/06/20,396,PENDIENTE
335,C4C808,G03,G,02/02/23,396,PENDIENTE
336,O8M204,G05,G,11/06/23,396,PENDIENTE
337,J4O489,G05,G,01/06/20,396,PENDIENTE
338,R8D635,G08,G,16/09/21,396,PENDIENTE
339,J5G413,G08,G,18/11/22,396,PENDIENTE
340,M1K552,G09,G,28/12/22,396,PENDIENTE
341,E0J476,G13,G,14/10/21,396,PENDIENTE
342,T7L479,G13,G,09/04/22,396,PENDIENTE
343,Q1A261,G18a,G,09/08/20,396,PENDIENTE
344,L9O198,G19,G,05/05/22,396,PENDIENTE
345,S9Y110,G23,G,09/10/21,396,PENDIENTE
346,T8K148,G28,G,21/12/21,396,PENDIENTE
347,B3Y482,G29,G,06/02/20,396,PENDIENTE
348,W8T549,G29,G,31/05/23,396,PENDIENTE
349,V4C549,G28,G,26/08/22,396,PENDIENTE
350,T2F431,G31a,G,05/02/23,396,PENDIENTE
351,W0G644,G56,G,21/09/21,396,PENDIENTE
352,M9W138,G57,G,06/06/21,396,PENDIENTE
353,K6Z737,G60,G,28/12/22,396,PENDIENTE
354,O9Z504,G64,G,10/01/23,396,PENDIENTE
355,U9Y114,L01,L,10/04/23,198,PENDIENTE
356,U2B297,L08,L,22/11/21,198,PENDIENTE
357,S5U710,G03,G,15/01/20,396,PENDIENTE
358,M4T123,G03,G,07/01/21,396,PENDIENTE
359,P0D220,G11,G,07/07/21,396,PENDIENTE
360,K1N174,G14,G,07/01/22,396,PENDIENTE
361,X5T950,G14,G,22/12/22,396,PENDIENTE
362,H3P522,G14,G,25/10/22,396,PENDIENTE
363,N9Z762,G17,G,05/03/21,396,PENDIENTE
364,H9O901,G18b,G,25/07/22,396,PENDIENTE
365,N3A652,G18b,G,20/10/22,396,PENDIENTE
366,G1J390,G19,G,02/05/22,396,PENDIENTE
367,F7N849,G20,G,26/06/23,396,PENDIENTE
368,S3D741,G26,G,29/08/20,396,PENDIENTE
369,G7N293,G27,G,10/05/23,396,PENDIENTE
370,E4D878,G28,G,31/07/21,396,PENDIENTE
371,T4C781,L01,L,28/01/22,198,PENDIENTE
372,E6Q722,L01,L,21/09/22,198,PENDIENTE
373,N9X845,L04,L,25/07/20,198,PENDIENTE
374,O5F649,M02,M,08/09/20,2475,PENDIENTE
375,D0Y147,M02,M,23/05/23,2475,PENDIENTE
376,D5G162,M04,M,21/05/23,4950,PENDIENTE
377,D2O839,M05,M,16/10/20,2475,PENDIENTE
378,Y0B374,G01,G,12/03/22,396,PENDIENTE
379,T7D799,G01,G,23/06/22,396,PENDIENTE
380,V3X669,G05,G,12/03/21,396,PENDIENTE
381,K4V220,G16,G,16/05/22,396,PENDIENTE
382,D4B675,G18a,G,07/01/20,396,PENDIENTE
383,W5X479,G19,G,07/03/23,396,PENDIENTE
384,L5O993,G19,G,30/10/21,396,PENDIENTE
385,V2W906,G29,G,03/06/21,396,PENDIENTE
386,D2B975,G29,G,01/02/20,396,PENDIENTE
387,G6G745,M02,M,09/02/20,2475,PENDIENTE
388,C1V277,G60,G,31/08/22,396,PENDIENTE
389,R4Q306,L01,L,29/09/21,198,PENDIENTE
390,U0Q388,L01,L,25/04/22,198,PENDIENTE
391,E0F972,L04,L,09/05/21,198,PENDIENTE
392,W9C263,L05,L,09/04/21,198,PENDIENTE
393,I6O360,L07,L,22/04/22,198,PENDIENTE
394,A5R607,L08,L,08/02/23,198,PENDIENTE
395,O2B245,M01,M,23/07/21,4950,PENDIENTE
396,U2J972,M02,M,29/12/22,2475,PENDIENTE
397,Y4B525,M05,M,20/11/22,2475,PENDIENTE
398,V1J747,M06,M,18/11/20,1188,PENDIENTE
399,E9L606,M09,M,15/01/22,1188,PENDIENTE
400,J7X158,M09,M,07/10/21,1188,PENDIENTE
401,B1B257,M17,M,02/08/22,594,PENDIENTE
402,R4B327,M17,M,12/03/20,594,PENDIENTE
403,V6M224,G33,G,07/05/22,396,PENDIENTE
404,Y3T925,G37,G,27/07/20,396,PENDIENTE
405,Y4J961,G41,G,20/05/20,396,PENDIENTE
406,T4A575,G58,G,04/07/20,396,PENDIENTE
407,M7G189,G58,G,15/02/21,396,PENDIENTE
408,Z0S429,G59,G,17/05/21,396,PENDIENTE
409,Y4Q958,G61,G,08/08/21,396,PENDIENTE
410,W2Z571,L04,L,16/01/23,198,PENDIENTE
411,R7Q575,L07,L,16/10/22,198,PENDIENTE
412,R3B110,M01,M,17/08/21,4950,PENDIENTE
413,E2F967,M02,M,01/05/23,2475,PENDIENTE
414,R3G246,L07,L,22/04/21,198,PENDIENTE
415,M6O738,L07,L,12/06/21,198,PENDIENTE
416,Q4O248,L08,L,26/04/23,198,PENDIENTE
417,W6I587,M01,M,14/01/21,4950,PENDIENTE
418,Z8Q223,M02,M,11/12/21,2475,PENDIENTE
419,D2E280,M02,M,04/09/20,2475,PENDIENTE
420,E1C858,M04,M,12/06/22,4950,PENDIENTE
421,P5A432,M25,M,15/06/21,594,PENDIENTE
422,J2O782,M35,M,25/01/21,594,PENDIENTE
423,E6X751,M35,M,18/11/21,594,PENDIENTE
424,R1S613,G31a,G,19/02/22,396,PENDIENTE
425,G6R270,G31a,G,18/02/21,396,PENDIENTE
426,T5D959,G31a,G,23/05/22,396,PENDIENTE
427,W5O390,G33,G,01/11/22,396,PENDIENTE
428,R9K420,G35,G,19/01/22,396,PENDIENTE
429,C1K368,G35,G,19/02/23,396,PENDIENTE
430,Y7E572,G37,G,16/09/22,396,PENDIENTE
431,P9F925,G47,G,30/01/22,396,PENDIENTE
432,R0E180,G47,G,29/11/20,396,PENDIENTE
433,C9Y903,G61,G,03/04/21,396,PENDIENTE
434,L3R610,G61,G,29/05/20,396,PENDIENTE
435,Y6G102,M02,M,14/01/23,2475,PENDIENTE
436,M1C518,M02,M,10/06/22,2475,PENDIENTE
